variable,lead_hours,mean,std,seeds,real,run
Q850,120.0,-0.648802843619019,0.3672084344242098,3,False,pyramid
T250,6.0,1.8582754060101137,0.0939211538970961,3,True,pyramid
T250,12.0,2.199643096944923,0.1274753995760396,3,True,pyramid
T250,18.0,2.386402457066772,0.10116372926641722,3,True,pyramid
T250,24.0,2.5032564306058416,0.06859162706768161,3,True,pyramid
T250,30.0,2.5426727829312954,0.07125456135194891,3,True,pyramid
T250,36.0,2.504915976359788,0.08399368456925702,3,True,pyramid
T250,42.0,2.447670687757756,0.08304181021129343,3,True,pyramid
T250,48.0,2.4037008359867613,0.06857425079961685,3,True,pyramid
T250,54.0,2.3421594448421135,0.06071900325034359,3,True,pyramid
T250,60.0,2.238752256357204,0.04987941105913446,3,True,pyramid
T250,66.0,2.154218249938676,0.04437874617653406,3,True,pyramid
T250,72.0,2.0973617614353164,0.03190486132266776,3,True,pyramid
T250,78.0,2.031888509224397,0.04156405143491056,3,True,pyramid
T250,84.0,1.9159345363714444,0.06896946164535143,3,True,pyramid
T250,90.0,1.8011069810260676,0.10821851704226688,3,True,pyramid
T250,96.0,1.7202343474005586,0.15654216416619934,3,True,pyramid
T250,102.0,1.6347879505878593,0.20910647920000228,3,True,pyramid
T250,108.0,1.4937787431370786,0.27153165026902726,3,True,pyramid
T250,114.0,1.3745456164894865,0.3454236950413338,3,True,pyramid
T250,120.0,1.2931951045501682,0.40654317840568666,3,True,pyramid
T2M,6.0,8.999596865842749,0.7384351443110214,3,True,pyramid
T2M,12.0,14.704822460575045,1.6558643889029407,3,True,pyramid
T2M,18.0,7.269230269998757,0.8561919444304684,3,True,pyramid
T2M,24.0,-11.363853973896083,2.488675070056999,3,True,pyramid
T2M,30.0,5.129196523662699,0.3394147867882048,3,True,pyramid
