lead_days,mean,min,max,std,count,variable,model
3.25,3.98722310790815,3.978755674852894,3.9929259723232944,0.0074787340121390865,3.0,T850,baseline17
3.5,4.1027894654460875,4.093854710536125,4.109369041343029,0.008020833263073728,3.0,T850,baseline17
3.75,4.154286517475662,4.145971976766693,4.160590747864376,0.0075138623749311205,3.0,T850,baseline17
4.0,4.193353156808296,4.185192182014708,4.1975977832933085,0.00706951722725534,3.0,T850,baseline17
4.25,4.303251511440995,4.294369749395745,4.308205362597698,0.007708917636723759,3.0,T850,baseline17
4.5,4.398845002356953,4.390121841552528,4.405698886666975,0.007954981432019441,3.0,T850,baseline17
4.75,4.4378237166398025,4.4303405616279985,4.444636852724769,0.007171658023263552,3.0,T850,baseline17
5.0,4.4678598581213755,4.462483182872677,4.472518450255351,0.005056024167285856,3.0,T850,baseline17
0.25,0.9911158584726967,0.9838727129061244,0.9977562140416328,0.006961351720812054,3.0,T850,baseline17_smooth
0.5,1.52852877491161,1.5191723720918664,1.537546304250158,0.009191652308838092,3.0,T850,baseline17_smooth
0.75,1.813481518476739,1.8093569632598483,1.8188697368667812,0.004880660701746769,3.0,T850,baseline17_smooth
1.0,2.023935023741661,2.022055551924131,2.026895112300069,0.0025944432087804553,3.0,T850,baseline17_smooth
1.25,2.321189316524156,2.316557375352355,2.327165343916084,0.005430209488373038,3.0,T850,baseline17_smooth
1.5,2.555466569954362,2.5486105421405023,2.561828997293953,0.006623037085212202,3.0,T850,baseline17_smooth
1.75,2.690455029401631,2.6856726490917726,2.692931509716822,0.004142540945184005,3.0,T850,baseline17_smooth
2.0,2.800311052747892,2.7961931354685685,2.80487268692111,0.004356755313966233,3.0,T850,baseline17_smooth
2.25,2.985906486919611,2.977978855355956,2.9927392597253184,0.007440861580601032,3.0,T850,baseline17_smooth
2.5,3.1482082511288954,3.137086297951428,3.1583330280911275,0.010658407747430007,3.0,T850,baseline17_smooth
2.75,3.245462017764865,3.2343307275393194,3.2590124743355484,0.012517445050104024,3.0,T850,baseline17_smooth
3.0,3.3287513612176394,3.316507466931316,3.34569284809309,0.015149163359393003,3.0,T850,baseline17_smooth
3.25,3.477772585290006,3.4619688435866776,3.4974051014505494,0.018025724069558848,3.0,T850,baseline17_smooth
3.5,3.612820037497538,3.5943586416124225,3.6358229669306534,0.021101936255939438,3.0,T850,baseline17_smooth
3.75,3.693593680939623,3.6757051723986702,3.718864350853679,0.022506685698514845,3.0,T850,baseline17_smooth
4.0,3.7633191293279267,3.744615636141649,3.7900143017346983,0.02373099053937352,3.0,T850,baseline17_smooth
4.25,3.890650881698823,3.868219257077108,3.918668090704778,0.025684046960773137,3.0,T850,baseline17_smooth
4.5,4.006511296766795,3.981096225921608,4.036768582608522,0.028150277251268292,3.0,T850,baseline17_smooth
4.75,4.073243800856243,4.047821208718452,4.104829333039613,0.028999447100906888,3.0,T850,baseline17_smooth
5.0,4.1306305177306495,4.104932375423944,4.16319619866089,0.02973282007489053,3.0,T850,baseline17_smooth
0.25,1.1590142422757925,1.1404673521263813,1.1712092306586663,0.01632561686314634,3.0,T850,multiscale
0.5,1.78150624439656,1.7522160061248244,1.7991054817866223,0.02553752842721952,3.0,T850,multiscale
0.75,2.141945699979596,2.104723273685815,2.1609787965752987,0.03223832734558887,3.0,T850,multiscale
1.0,2.432286334369967,2.3904313664558767,2.4600198272169336,0.03688089629234683,3.0,T850,multiscale
1.25,2.805494766962184,2.758865501471172,2.8424360353474363,0.0426192620657829,3.0,T850,multiscale
1.5,3.1218731341417967,3.0677167175600863,3.168933197564029,0.05098002184405324,3.0,T850,multiscale
1.75,3.3358555113868706,3.2743021836209727,3.3950487282511257,0.06040786043745814,3.0,T850,multiscale
2.0,3.519203672272779,3.4504757202780687,3.5912826606270016,0.07046325777395683,3.0,T850,multiscale
2.25,3.7631813323267678,3.683457090235031,3.8501584053333526,0.08358698930507666,3.0,T850,multiscale
2.5,3.992412495197518,3.8980914735584578,4.096056619473742,0.09931132831355292,3.0,T850,multiscale
2.75,4.16508478107837,4.057535489220904,4.285074703759549,0.11427860915186537,3.0,T850,multiscale
3.0,4.326679553862269,4.207576994038152,4.461943302451681,0.1279509387644821,3.0,T850,multiscale
3.25,4.54062921829619,4.40416959129683,4.694834013896965,0.1461424643896729,3.0,T850,multiscale
3.5,4.7572779124187425,4.5995000410369515,4.931876155816151,0.16682525020208033,3.0,T850,multiscale
3.75,4.942099817510402,4.764136790862524,5.134576181051187,0.18564566561507015,3.0,T850,multiscale
4.0,5.127884953967517,4.932528641487838,5.334434801655673,0.20118675855547968,3.0,T850,multiscale
4.25,5.364329758430567,5.14545064751408,5.587634522387922,0.2211251559710922,3.0,T850,multiscale
4.5,5.612277943326867,5.36400170385324,5.854510043536341,0.24531002127767132,3.0,T850,multiscale
4.75,5.843196689924764,5.565260534187327,6.1011702541549955,0.2685119844322017,3.0,T850,multiscale
